구역,이름,구글맵링크,좌표,비고
서울,강변 테크노마트 푸드코트,https://maps.app.goo.gl/znunuNE6jwDN1NYg8,"37.53569434140522, 127.09550499666673",
이케부쿠로,멘야 나카가와,https://maps.app.goo.gl/kMgLKjStWt586HCP7,"35.7338943386336, 139.708335447876720","맛의 육각형을 꽉 채운 완벽한 밸런스와 리조또 마무리까지 완벽한, 전형성을 탈피한 다채로운 맛의 츠케멘. 닭 베이스. 츠케멘 추천"
이케부쿠로,츠지타,https://maps.app.goo.gl/kYgZt9wA6e5BN3oS8,"35.732032166182364, 139.70617719660407","긴 대기를 피할 수 있는 훌륭한 차선책이자, 느끼함 없는 깔끔한 국물 베이스의 취향 저격 츠케멘."
이케부쿠로,부타야마,https://maps.app.goo.gl/VzzALoyKdQgrkDaV8,"35.732134455277375, 139.70785084307423","열악한 서비스와 위생, 뻑뻑한 고기의 지로 대신 부드러운 차슈와 카드 결제, 쾌적한 환경을 갖춘 1,200엔대의 합리적인 지로계 대안."
이케부쿠로,포 틴 도쿄,https://maps.app.goo.gl/C8Mm1x4DvAjFxXpt5,"35.72955994336547, 139.71458813893406","고수를 못 먹어도 즐길 수 있는 깊은 맛의 쌀국수 맛집."
이케부쿠로,멘야 무사시,https://maps.app.goo.gl/67kGXr2VidTbUAkN7,"35.73288855654658, 139.71443713722064","기름진 맛과 튀김이 특징. 면 양 추가 무료 및 수프 1회 리필 가능."
이케부쿠로,이치란,https://maps.app.goo.gl/ZnBRPTMCoxYLVS8Q8,"35.73275532859638, 139.71447424631094","호불호 없는 익숙하고 매콤한 맛. 실패하고 싶지 않을 때 최고의 선택."
이케부쿠로,키미니 아게루,https://maps.app.goo.gl/59Djc5ooa81wF74c9,"35.72668257846829, 139.71656799601757","이케부쿠로 최고 수준의 돈카츠. 와사비와 소금 조합 추천. 양배추 질이 좋으니 중모리(中盛)로 주문 권장."
이케부쿠로,하브스,https://maps.app.goo.gl/LgchA6bWNwVMecsJ6,"35.72921362035527, 139.70934032728286","과일이 실한 케이크 맛집. 커피보다는 홍차나 밀크티를 마시는 것을 강력 추천."
이케부쿠로,머메이드 커피 로스터,https://maps.app.goo.gl/oSuCXGMsY6EG243t8,"35.72922269170987, 139.71567883097134","라떼가 맛있는 분위기 좋은 카페. 커플 방문 추천."
이케부쿠로,쿄하시야,https://maps.app.goo.gl/qjF6cYnxNDu2wQqQ9,"35.72952476322587, 139.7118536674284","맛차(말차) 전문점."
이케부쿠로,키친ABC,https://maps.app.goo.gl/L2hK4f2sAPD8dpyQ7,"35.727074309194926, 139.71253540791386","정갈한 일본 가정식 정식을 파는 곳."
이케부쿠로,舎人庵 油そば(토네리안 아부라소바),https://maps.app.goo.gl/kXKD6moiyBsWABpH9,"35.732563893451115, 139.70762595058537","가성비 좋은 아부라소바(600엔). 평일 점심에만 영업함."
이케부쿠로,Banhao,https://maps.app.goo.gl/H69bpApz6fgTCgoe9,"35.75751038502275, 139.6624713407793","가성비와 양이 훌륭한 태극 음식점 (헤이와다이 위치)."
아키하바라,아오시마 쇼쿠도,https://maps.app.goo.gl/oibjFTpTUQphijvU6,"35.69767649700326, 139.7789285272819","영업은 짧고 웨이팅은 길지만, 1만 원대에 묵직한 돼지 생강 라멘을 배터지게 먹을 수 있는 라오타 성지."
일산,신라돈까스,https://maps.app.goo.gl/GDEiwDXYgC8EsbyP7,"37.66986721172325, 126.7505740255064","킨텍스 들렀다가 도보이동 가능한 곳. 홈페이지 제작자 본인이 강추함."
용산,백옥 용산,https://maps.app.goo.gl/E11jEZ51wCiFvQ3F6,"37.524882777482695, 126.96501206967564",곰탕
용산,장독대김치찜김치찌개 용산점,https://maps.app.goo.gl/uvidcfff6FG8xRu16,"37.52967503972492, 126.96477196783158",김치찌개 정식
